swc_name,dangling_branch,root_node_jump,z_jumps,narrow_start,fat_ends,has_all_nonzero_segment_lengths,narrow_neurite_section,single_child,multifurcation,number_of_dendritic_trees_steaming_from_the_soma,number_of_axons,max_branch_order,total_section_length,max_section_length
17302_00103,0,0,0,0,0,0,0,0,0,3,0,22,90626.80274,3823.013672
17302_00105,0,0,0,0,0,0,0,0,0,3,1,40,34386.81646,2573.921387
17302_00106,0,0,0,0,0,0,0,0,0,5,1,26,83508.87956,1911.91748
17302_00108,0,0,0,0,0,0,0,0,0,4,0,30,53405.25206,3419.171387
17302_00110,0,0,0,0,0,0,0,0,0,4,1,46,70244.38527,1715.267456
17302_00112,0,0,0,0,0,0,0,0,0,8,1,65,93126.54403,4320.525879
17302_00113,0,0,0,0,0,0,0,0,0,7,1,33,135457.979,7899.24707
17302_00114,0,0,0,0,0,0,0,0,0,7,1,25,79788.68943,6912.223145
17302_00115,0,0,0,0,0,0,0,0,0,5,1,33,82267.93166,7098.731445
17302_00117,0,0,0,0,0,0,0,0,0,9,1,38,206520.3242,10250.94824
17302_00118,0,0,0,0,0,0,0,0,0,6,1,30,92629.54834,16927.25
17302_00119,0,0,0,0,0,0,0,0,0,6,1,28,109980.028,4981.666504
17302_00120,0,0,0,0,0,0,0,0,0,6,0,27,96042.23886,13704.09082
17302_00121,0,0,0,0,0,0,0,0,0,8,1,31,91855.59057,5418.600586
17302_00123,0,0,0,0,0,0,0,0,0,4,0,26,69464.35536,2295.821777
17302_00124,0,0,0,0,0,0,0,0,0,7,0,27,65865.15062,2075.212891
17302_00125,0,0,0,0,0,0,0,0,0,2,0,22,84567.25091,15674.83984
17543_2434_x11441_y5587,0,0,0,0,0,0,0,0,0,7,1,20,94020.87832,11215.73633
17543_3308_x10077_y3766,0,0,0,0,0,0,0,0,0,6,1,15,51442.08692,1538.301636
17543_3471_x12087_y3637,0,0,0,0,0,0,0,0,0,4,1,32,176749.8057,9397.980469
17543_3705_x9619_y20864,0,0,0,0,0,0,0,0,0,6,0,43,90604.74739,7478.266113
17543_3828_x6023_y17044,0,0,0,0,0,0,0,0,0,4,1,26,38597.59334,1958.383301
17543_3842_x7369_y3542,0,0,0,0,0,0,0,0,0,8,0,30,110101.5359,12382.94824
17543_4868_x6727_y21047,0,0,0,0,0,0,0,0,0,4,1,20,54599.29545,2389.918945
17543_4926_x5833_y20277,0,0,0,0,0,0,0,0,0,4,1,16,49075.87574,2446.710449
17543_5296_x5131_y20385,0,0,0,0,0,0,0,0,0,5,1,20,77781.91819,3411.159668
17543_5334_x5066_y20381,0,0,0,0,0,0,0,0,0,6,1,19,127515.4078,12064.88867
17545_00001,0,0,0,0,0,0,0,0,0,4,0,59,77589.46088,1676.058716
17545_00003,0,0,0,0,0,0,0,0,0,3,0,49,151356.6892,5812.908203
17545_00004,0,0,0,0,0,0,0,0,0,7,1,21,82748.03935,3323.626953
17545_00007,0,0,0,0,0,0,0,0,0,5,1,24,28137.92591,1910.94458
17545_00024,0,0,0,0,0,0,0,0,0,5,0,17,51448.29507,2657.904785
17545_00025,0,0,0,0,0,0,0,0,0,3,1,24,72196.91289,1348.945923
17545_00027,0,0,0,0,0,0,0,0,0,7,1,45,66081.15427,864.2830811
17545_00028,0,0,0,0,0,0,0,0,0,3,1,36,51783.13821,959.5908203
17545_00029,0,0,0,0,0,0,0,0,0,8,1,23,105233.2708,2328.623291
17545_00040,0,0,0,0,0,0,0,0,0,5,1,24,74448.98167,1788.146362
17545_00041,0,0,0,0,0,0,0,0,0,7,0,13,45229.27914,2362.244385
17545_00044,0,0,0,0,0,0,0,0,0,4,1,17,95501.16035,1683.533203
17545_00045,0,0,0,0,0,0,0,0,0,4,1,12,32959.69642,5379.412109
17545_00046,0,0,0,0,0,0,0,0,0,4,1,29,30753.00969,1611.378784
17545_00048,0,0,0,0,0,0,0,0,0,3,1,19,115311.6925,2480.79248
17545_00050,0,0,0,0,0,0,0,0,0,6,1,39,156647.1057,3458.63623
17545_00052,0,0,0,0,0,0,0,0,0,4,1,22,91992.95394,2204.436035
17545_00053,0,0,0,0,0,0,0,0,0,4,1,24,99571.13634,2739.983643
17545_00054,0,0,0,0,0,0,0,0,0,7,1,23,65825.16898,7784.742188
17545_00055,0,0,0,0,0,0,0,0,0,4,0,38,102808.7697,4609.679688
17545_00056,0,0,0,0,0,0,0,0,0,7,1,33,90763.93094,6704.171387
17545_00057,0,0,0,0,0,0,0,0,0,9,0,72,123086.1739,11780.65234
17545_00058,0,0,0,0,0,0,0,0,0,7,1,31,107163.4128,7365.578125
17545_00059,0,0,0,0,0,0,0,0,0,3,0,51,79214.46993,2783.414551
17545_00060,0,0,0,0,0,0,0,0,0,4,0,34,75618.88575,2507.641113
17545_00063,0,0,0,0,0,0,0,0,0,4,0,25,77408.23354,2022.253906
17545_00064,0,0,0,0,0,0,0,0,0,6,0,15,76740.82209,4872.501953
17545_00065,0,0,0,0,0,0,0,0,0,5,0,33,92265.58724,2354.568115
17545_00066,0,0,0,0,0,0,0,0,0,4,1,32,74146.37461,2096.177246
17545_00067,0,0,0,0,0,0,0,0,0,2,1,23,76906.1661,2466.598145
17545_00071,0,0,0,0,0,0,0,0,0,7,1,52,246075.2754,5745.103516
17545_00073,0,0,0,0,0,0,0,0,0,5,0,32,26932.1132,2507.37207
17545_00074,0,0,0,0,0,0,0,0,0,8,1,31,30540.73653,1153.134766
17545_00075,0,0,0,0,0,0,0,0,0,11,1,20,86154.3694,10543.45117
17545_00078,0,0,0,0,0,0,0,0,0,5,1,26,82980.00121,8210.133789
17545_00081,0,0,0,0,0,0,0,0,0,3,1,62,125702.8715,6520.979492
17545_00084,0,0,0,0,0,0,0,0,0,8,1,25,179007.6308,7027.67334
17545_00085,0,0,0,0,0,0,0,0,0,7,0,28,205880.5874,7552.538086
17545_00089,0,0,0,0,0,0,0,0,0,9,1,26,189015.0353,8070.648926
